stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1137,1137,MESSINA MARINE - AMMIRAGLIO CRISTODULO,,38.096823329999999,13.425383329999995,1,,,,Europe/Rome,1
1138,1138,MESSINA MARINE - BANDITA,,38.097535000000001,13.416473330000001,1,,,,Europe/Rome,1
1139,1139,MESSINA MARINE - BANDITA,,38.097520000000003,13.417136670000001,1,,,,Europe/Rome,1
114,114,AQUINO 2 MONTE,,38.076386210000003,13.31075326,1,,,,Europe/Rome,1
1140,1140,MESSINA MARINE - BUCCHERI LA FERLA,,38.106099999999998,13.386678329999999,1,,,,Europe/Rome,1
1141,1141,MESSINA MARINE - BUCCHERI LA FERLA,,38.106486670000002,13.38568667,1,,,,Europe/Rome,1
1142,1142,MESSINA MARINE - CAPPELLO,,38.106670000000001,13.384344999999998,1,,,,Europe/Rome,1
1143,1143,MESSINA MARINE - CAPPELLO,,38.106788330000001,13.383893330000003,1,,,,Europe/Rome,1
1144,1144,MESSINA MARINE - CARACAUSI,,38.100045000000001,13.402815000000002,1,,,,Europe/Rome,1
1145,1145,MESSINA MARINE - CARACAUSI,,38.10042833,13.401793330000002,1,,,,Europe/Rome,1
1147,1147,MESSINA MARINE - CLOBER,,38.103311669999989,13.393269999999999,1,,,,Europe/Rome,1
1148,1148,MESSINA MARINE - D' AOSTA,,38.105435,13.388589999999997,1,,,,Europe/Rome,1
1149,1149,MESSINA MARINE - D' AOSTA,,38.105861670000003,13.387675,1,,,,Europe/Rome,1
115,115,AQUINO 2 VALLE,,38.076342930000003,13.31079751,1,,,,Europe/Rome,1
1150,1150,MESSINA MARINE - DIAZ,,38.103198946666666,13.393775719999997,1,,,,Europe/Rome,1
1151,1151,MESSINA MARINE - FIUME ORETO,,38.10928585500001,13.379840428333337,1,,,,Europe/Rome,1
1152,1152,MESSINA MARINE - LAUDICINA,,38.097859999999997,13.412881670000003,1,,,,Europe/Rome,1
1153,1153,MESSINA MARINE - BERTETT,,38.097746669999999,13.414510000000003,1,,,,Europe/Rome,1
1154,1154,MESSINA MARINE - LAUDICINA,,38.097918329999999,13.412975000000001,1,,,,Europe/Rome,1
1155,1155,MESSINA MARINE - LI GOTTI,,38.096906670000003,13.421400000000002,1,,,,Europe/Rome,1
1156,1156,MESSINA MARINE - PALUMBO,,38.101599999999998,13.398236670000001,1,,,,Europe/Rome,1
1157,1157,MESSINA MARINE - PALUMBO,,38.101255000000002,13.399434999999999,1,,,,Europe/Rome,1
1158,1158,MESSINA MARINE - PIAZZETTA SPERONE,,38.099548329999998,13.404433330000002,1,,,,Europe/Rome,1
1159,1159,MESSINA MARINE - RAVENNA,,38.100909999999999,13.400088330000001,1,,,,Europe/Rome,1
116,116,AQUINO 3 MONTE,,38.07508241,13.309685740000001,1,,,,Europe/Rome,1
1160,1160,MESSINA MARINE - SAETTA,,38.107550000000003,13.381969999999999,1,,,,Europe/Rome,1
1161,1161,MESSINA MARINE - SAETTA,,38.107565000000001,13.382086670000003,1,,,,Europe/Rome,1
1162,1162,MESSINA MARINE - XXVII MAGGIO,,38.098533330000002,13.406594999999998,1,,,,Europe/Rome,1
1163,1163,MESSINA MARINE - ZUCCHETTO,,38.096719999999998,13.42300333,1,,,,Europe/Rome,1
1164,1164,MESSINA MARINE - ZUCCHETTO,,38.096813330000003,13.42374167,1,,,,Europe/Rome,1
